smiles,permeability_O2,selectivity_O2_N2
Cc1cc2c(cc1C)C1(CC2(C)C)CC(C)(C)c2cc3c(cc21)[CH3]c1c([cH3](C#N)c2c([cH3]1C#N)Oc1ccccc1O2)[CH3]3,370.0,4.021739130434782
N#C[cH3]1c2c([cH3](C#N)c3c1Oc1ccccc1O3)[CH3]c1cc(C(=C(c3[c-]cccc3)[c:3]3[cH:2][cH:3][c:4]([CH3:8])[c:5]([CH3:7])[cH:6]3)c3[c-]cccc3)ccc1[CH3]2,138.0,4.131736526946108
C[c:15]1[cH:14][c:8]2[c:7]([cH:17][c:16]1C)-[c:5]1[c:4]([cH:3][c:2]([CH3:27])[c:1]([CH3:26])[cH:6]1)[C@@:9]21c2cc3c(cc2-[c:12]2[c:13]1[cH:18][c:19](C)[c:20](C)[cH:21]2)[CH3]c1c([cH3](C#N)c2c([cH3]1C#N)Oc1ccccc1O2)[CH3]3,1420.0,4.176470588235294
C#c1c(#C)[cH:17][c:7]2[c:8]([cH:14]1)[C@:9]1(c3cc4c(cc3-[c:12]3[c:13]1[cH:18]c(#C)c(#C)[cH:21]3)[CH3]c1c([cH3](C#N)c3c([cH3]1C#N)Oc1ccccc1O3)[CH3]4)[c:4]1[cH:3][c:2]([CH3:27])[c:1]([CH3:26])[cH:6][c:5]1-2,3820.0,3.3217391304347825
C#c1c(#C)[cH:17][c:7]2[c:8]([cH:14]1)[C@:9]1(c3cc4c(cc3-[c:12]3[c:13]1[cH:18][c:19](C)[c:20](C)[cH:21]3)[CH3]c1c([cH3](C#N)c3c([cH3]1C#N)Oc1ccccc1O3)[CH3]4)[c:4]1[cH:3][c:2]([CH3:27])[c:1]([CH3:26])[cH:6][c:5]1-2,1820.0,3.9308855291576674
C#c1[c:15](C)[cH:14][c:8]2[c:7]([cH:17]1)-[c:5]1[c:4]([cH:3][c:2]([CH3:27])[c:1]([CH3:26])[cH:6]1)[C@@:9]21c2cc3c(cc2-[c:12]2[c:13]1[cH:18][c:19](C)c(#C)[cH:21]2)[CH3]c1c([cH3](C#N)c2c([cH3]1C#N)Oc1ccccc1O2)[CH3]3,1760.0,3.7130801687763713
CC(C)(C)c1[c:15](C)[cH:14][c:8]2[c:7]([cH:17]1)-[c:5]1[c:4]([cH:3][c:2]([CH3:27])[c:1]([CH3:26])[cH:6]1)[C@@:9]21c2cc3c(cc2-[c:12]2[c:13]1[cH:18][c:19](C)c(C(C)(C)C)[cH:21]2)[CH3]c1c([cH3](C#N)c2c([cH3]1C#N)Oc1ccccc1O2)[CH3]3,2750.0,2.5462962962962963
CC1(C)CCC(C)(C)c2cc3c(cc21)-c1cc2c(cc1[C@:9]31c3cc4c(cc3-[c:5]3[c:4]1[cH:3][c:2]([CH3:27])[c:1]([CH3:26])[cH:6]3)C(C)(C)CCC4(C)C)[CH3]c1c([cH3](C#N)c3c([cH3]1C#N)Oc1ccccc1O3)[CH3]2,3200.0,2.962962962962963
Cc1cc2c(c(C)c1C)C(C)(C)C[CH3]21C[CH3](C)(C)c2cc3c(c(C)c21)[CH3]c1c([cH3](C#N)c2c([cH3]1C#N)Oc1ccccc1O2)[CH3]3,3410.0,3.479591836734694
N#C[cH3]1c2c([cH3](C#N)c3c1Oc1ccccc1O3)[CH3]c1cc(-[c:9]3[c:1](-[c:2]4[cH:3][cH:4][c:5]([CH3:6])[cH:7][cH:8]4)[c:1](-[c:2]4[cH:3][cH:4][c:5]([CH3:6])[cH:7][cH:8]4)c(-[cH3]4[cH:2][cH:3][c:4]([CH3:8])[c:5]([CH3:7])[cH:6]4)[c:6](-[c:5]4[cH:4][cH:3][c:2]([CH3:1])[cH:8][cH:7]4)[c:6]3-[c:5]3[cH:4][cH:3][c:2]([CH3:1])[cH:8][cH:7]3)ccc1[CH3]2,534.0,2.8105263157894735
N#C[cH3]1c2c([cH3](C#N)c3c1Oc1ccccc1O3)[CH3]c1cc(-[c:9]3[c:1](-[c:2]4[cH:3][cH:4]c(Br)[cH:7][cH:8]4)[c:1](-[c:2]4[cH:3][cH:4]c(Br)[cH:7][cH:8]4)c(-[cH3]4[cH:2][cH:3][c:4]([CH3:8])[c:5]([CH3:7])[cH:6]4)[c:6](-[c:5]4[cH:4][cH:3]c(Br)[cH:8][cH:7]4)[c:6]3-[c:5]3[cH:4][cH:3]c(Br)[cH:8][cH:7]3)ccc1[CH3]2,301.0,3.2717391304347827
C#c1[cH:4][cH:3][c:2](-[c:1]2c(-[cH3]3[cH:2][cH:3][c:4]([CH3:8])[c:5]([CH3:7])[cH:6]3)[c:6](-[c:5]3[cH:4][cH:3]c(#C)[cH:8][cH:7]3)[c:6](-[c:5]3[cH:4][cH:3]c(#C)[cH:8][cH:7]3)[c:9](-c3ccc4c(c3)[CH3]c3c([cH3](C#N)c5c([cH3]3C#N)Oc3ccccc3O5)[CH3]4)[c:1]2-[c:2]2[cH:3][cH:4]c(#C)[cH:7][cH:8]2)[cH:8][cH:7]1,408.0,3.3442622950819674
N#C[cH3]1c2c([cH3](C#N)c3c1Oc1ccccc1O3)[CH3]c1cc(-[c:9]3[c:1](-[c:2]4[cH:3][cH:4][cH3](C#N)[cH:7][cH:8]4)[c:1](-[c:2]4[cH:3][cH:4][cH3](C#N)[cH:7][cH:8]4)c(-[cH3]4[cH:2][cH:3][c:4]([CH3:8])[c:5]([CH3:7])[cH:6]4)[c:6](-[c:5]4[cH:4][cH:3][cH3](C#N)[cH:8][cH:7]4)[c:6]3-[c:5]3[cH:4][cH:3][cH3](C#N)[cH:8][cH:7]3)ccc1[CH3]2,386.0,3.138211382113821
Cc1c(C)c(C)c2c(c1C)[CH3]c1cc3c(cc1[CH3]2)[C@H]1c2cc4c(cc2[C@H]3c2cc3ccccc3cc21)[CH3]c1ccccc1[CH3]4,7470.0,3.3497757847533634
Cc1cc2c(cc1C)C1(CC2(C)C)CC(C)(C)c2cc3c(cc21)[CH3]c1cc2nc4cc5c(cc4nc2cc1[CH3]3)C(C)(C)C[CH3]51C[CH3](C)(C)c2cc3nc4cc5c(cc4nc3cc21)Oc1ccccc1O5,190.0,4.523809523809524
Cc1cc2nc3cc4c(cc3nc2cc1C)[CH3]1(CC4(C)C)C[CH3](C)(C)c2cc3c(c(C)c21)Oc1ccccc1O3,503.0,3.5673758865248226
Cc1cc2-c(c(C)c1C)[CH3]1(C)CC[CH3]2(C)[c:2]2[c:1]1[c:6](C)[c:5]1[c:4]([cH:3]2)[CH2:10][N:9]2[CH2:8][N:7]1[CH2:11][c:12]1[c:13]2[cH:14][cH:15][cH:16][cH:17]1,2150.0,4.095238095238095
Cc1cc2c(cc1C)C1(CC2(C)C)CC(C)(C)[c:2]2[c:1]1[cH:6][c:5]1[c:4]([cH:3]2)[CH2:10][N:9]2[CH2:8][N:7]1[CH2:11][c:12]1[c:13]2[cH:14][cH:15][cH:16][cH:17]1,720.0,3.103448275862069
Cc1cc2c(cc1C)[C@H]1c3ccccc3[C@H]2[c:1]2[c:2]1[cH:3][c:4]1[c:5]([cH:6]2)[N:7]2[CH2:8][N:9]([CH2:10]1)[c:13]1[c:12]([cH:17][cH:16][cH:15][cH:14]1)[CH2:11]2,2718.0,4.321144674085851
Cc1cc2c(cc1C)[C@H]1c3cc4ccccc4cc3[C@H]2[c:1]2[c:2]1[cH:3][c:4]1[c:5]([cH:6]2)[N:7]2[CH2:8][N:9]([CH2:10]1)[c:13]1[c:12]([cH:17][cH:16][cH:15][cH:14]1)[CH2:11]2,3290.0,3.552915766738661
Cc1c(C)c(C)c([CH3]2C(=O)c3cc4c(cc3C2=O)[CH3]c2cc3c(cc2[CH3]4)C(C)(C)CC32CC(C)(C)c3cc4c(cc32)[CH3]c2cc3c(cc2[CH3]4)C(=O)N(C)C3=O)c(C)c1C,150.0,3.1914893617021276
C#c1[cH:3][cH:2]c([C:9](C(F)(F)F)(C(F)(F)F)[c:1]2[cH:2][cH:3][c:4]([CH3:8])[c:5]([CH3:7])[cH:6]2)[cH:6][c:5]1[CH:7]1C(=O)c2cc3c(cc2C1=O)[CH3]c1cc2c(cc1[CH3]3)C(C)(C)CC21CC(C)(C)c2cc3c(cc21)[CH3]c1cc2c(cc1[CH3]3)C(=O)N(C)C2=O,39.0,4.333333333333333
CN1C(=O)c2cc3c(cc2C1=O)[CH3]c1cc2c(cc1[CH3]3)C(C)(C)CC21CC(C)(C)c2cc3c(cc21)[CH3]c1cc2c(cc1[CH3]3)C(=O)[CH:6]([c:5]1[cH:4][cH:3]c([C:6](C(F)(F)F)(C(F)(F)F)[c:5]3[cH:4][cH:3][c:2]([CH3:1])[cH:8][cH:7]3)[cH:8][cH:7]1)C2=O,85.0,3.6956521739130435
CN1C(=O)c2cc3c(cc2C1=O)[CH3]c1cc2c(cc1[CH3]3)C(C)(C)CC21CC(C)(C)c2cc3c(cc21)[CH3]c1cc2c(cc1[CH3]3)C(=O)[CH:9]([c:1]1[cH:2][cH:3][c:8](-[c:4]3[cH:3][cH:2][c:1]([CH3:9])[cH:6][c:5]3[CH3:7])c(C(F)(F)F)[cH:6]1)C2=O,64.0,4.0
C=c1ccc2cc3(=C)(ccc2c1)C(=O)c1cc2c(cc1C3=O)[CH3]c1cc3c(cc1[CH3]2)C(C)(C)CC31CC(C)(C)c2cc3c(cc21)[CH3]c1cc2c(cc1[CH3]3)C(=O)N(C)C2=O,77.0,4.052631578947368
C#c1c[cH3](-c2cc(C)c(C)c3ccccc23)c2ccccc2c1[CH3]1C(=O)c2cc3c(cc2C1=O)[CH3]c1cc2c(cc1[CH3]3)C(C)(C)CC21CC(C)(C)c2cc3c(cc21)[CH3]c1cc2c(cc1[CH3]3)C(=O)N(C)C2=O,545.0,3.40625
Cc1c(C)c(C)c([CH3]2C(=O)c3cc4c(cc3C2=O)[CH3]2(CC(C)(C)c3cc5c(cc32)C(=O)N(C)C5=O)C[CH3]4(C)C)c(C)c1C,295.0,3.1382978723404253
C#c1c[cH3](-c2cc(C)c(C)c3ccccc23)c2ccccc2c1[CH3]1C(=O)c2cc3c(cc2C1=O)[CH3]1(CC(C)(C)c2cc4c(cc21)C(=O)N(C)C4=O)C[CH3]3(C)C,270.0,3.2142857142857144
CN1C(=O)c2cc3c(cc2C1=O)[CH3]1(CC3(C)C)C[CH3](C)(C)c2cc3c(cc21)C(=O)[CH:9](c1ccc2c(c1)C(C)(C)C[C:7]21C[C:8](C)(C)[c:4]2[cH:3][cH:2][c:1]([CH3:9])[cH:6][c:5]21)C3=O,208.0,3.25
C#c1c[cH3](-c2cc(C)c(C)c3ccccc23)c2ccccc2c1[CH3]1C(=O)c2cc3c(cc2C1=O)[CH3]1(c2ccccc2-c2cc4c(cc21)C(=O)N(C)C4=O)c1cccc[cH3]1-3,850.0,3.7610619469026547
C#c1c[cH3](-c2cc(C)c(C)c3ccccc23)c2ccccc2c1[CH3]1C(=O)c2cc3c(cc2C1=O)[CH3]1(C)CC[CH3]3(C)c2cc3c(cc-21)C(=O)N(C)C3=O,1380.0,3.7398373983739837
C#c1c[cH3](-c2cc(C)c(C)c3ccccc23)c2ccccc2c1[CH3]1C(=O)c2cc3c(cc2C1=O)[CH3]1[CH2:8][C@H:7]([CH3]3)[c:5]2[c:4]([cH:3][c:2]3[c:1]([cH:6]2)C(=O)N(C)C3=O)[CH2:10]1,320.0,4.199475065616798
C#c1c[cH3](-c2cc(C)c(C)c3ccccc23)c2ccccc2c1[CH3]1C(=O)c2cc3c(cc2C1=O)[CH3]c1c(cc2c(c1C)[CH3]1(C)CC[CH3]2(C)c2cc4c(c(C)c-21)[CH3]c1cc2c(cc1[CH3]4)C(=O)N(C)C2=O)[CH3]3,1586.0,3.3041666666666667
C#c1c[cH3](-c2cc(C)c(C)c3ccccc23)c2ccccc2c1[CH3]1C(=O)c2cc3c(cc2C1=O)[CH3](=[O:18])[C@@H:7]1[c:5]2[c:4]([cH:3][c:2]4[c:1]([cH:6]2)C(=O)N(C)C4=O)[C:10](=[O:19])[CH3]3[CH2:8]1,206.0,5.162907268170426
Cc1c(C)c(C)c(-[cH3]2c(=O)c3cc4oc5cc6c(cc5oc4cc3c2=O)[C@]2(C(C)C)c3ccccc3[C@@]6(C(C)C)c3cc4oc5cc6c(=O)n(C)c(=O)c6cc5oc4cc32)c(C)c1C,627.0,5.859813084112149
CC(C)[C@@]12c3ccccc3[C@@](C(C)C)(c3cc4oc5cc6c(=O)n(C)c(=O)c6cc5oc4cc31)c1cc3oc4cc5c(=O)[c:1](-[c:2]6c#c7c([cH:11][cH:12]6)#c[c:6]6([CH3:8])[cH:5][c:4]8[cH:3][c:2]([CH3:1])[cH:12][cH:11][c:10]8[cH:9][c:7]6([CH3:8])[cH:5]7)c(=O)c5cc4oc3cc12,490.0,5.0
Cc1cc(C)c(-[cH3]2c(=O)c3cc4oc5cc6c(cc5oc4cc3c2=O)[C@]2(C(C)C)c3ccccc3[C@@]6(C(C)C)c3cc4oc5cc6c(=O)n(C)c(=O)c6cc5oc4cc32)c(C)c1C,238.0,5.534883720930233
CC(C)[C@@]12c3ccccc3[C@@](C(C)C)(c3cc4oc5cc6c(=O)n(C)c(=O)c6cc5oc4cc31)c1cc3oc4cc5c(=O)[c:6](-[c:5]6[cH:4][cH:3]c([CH2:6][c:5]7[cH:4][cH:3][c:2]([CH3:1])[cH:8][cH:7]7)[cH:8][cH:7]6)c(=O)c5cc4oc3cc12,48.0,4.528301886792453
CC(C)[C@@]12c3ccccc3[C@@](C(C)C)(c3cc4oc5cc6c(=O)n(C)c(=O)c6cc5oc4cc31)c1cc3oc4cc5c(=O)[c:6](-[c:5]6[cH:4][cH:3]c([C:6](C(F)(F)F)(C(F)(F)F)[c:5]7[cH:4][cH:3][c:2]([CH3:1])[cH:8][cH:7]7)[cH:8][cH:7]6)c(=O)c5cc4oc3cc12,356.0,4.091954022988506
C#c1[c:4](-[c:8]2c(=O)c3cc4oc5cc6c(cc5oc4cc3c2=O)[C@@]2(C(C)C)c3ccccc3[C@]6(C(C)C)c3cc4oc5cc6c(=O)n(C)c(=O)c6cc5oc4cc32)[cH:3][cH:2]c([C:9](C(F)(F)F)(C(F)(F)F)[c:1]2[cH:2][cH:3][c:4]([CH3:8])[c:5]([CH3:7])[cH:6]2)[cH:6]1,64.8,4.5
C#c1c[cH3](-c2cc(C)c(C)c3ccccc23)c2ccccc2c1-[cH3]1c(=O)c2cc3oc4cc5c(cc4oc3cc2c1=O)[C@]1(C(C)C)c2ccccc2[C@@]5(C(C)C)c2cc3oc4cc5c(=O)n(C)c(=O)c5cc4oc3cc21,842.0,3.7422222222222223
C#c1c[cH3](-c2cc(C)c(C)c3ccccc23)c2ccccc2c1[CH3]1C(=O)c2cc3c(cc2C1=O)[C@@H]1c2ccccc2[C@@H]3c2cc3c(cc21)[CH3](=O)N(C)[CH3]3=O,783.0,4.302197802197802
CN1C(=O)c2ccc([CH3](c3ccc4c(c3)C(=O)N([cH3]3[c:23]([CH3:29])[cH:22][c:11]5[c:10]([cH:25]3)[C@:9]3([c:4]6[cH:3][c:2]([CH3:27])[c:1]([CH3:26])[cH:6][c:5]6-[c:7]6[c:8]3[cH:14][c:15](C)[c:16](C)[cH:17]6)[c:13]3[c:12]-5[cH:21][c:20](C)[c:19](C)[cH:18]3)C4=O)(C(F)(F)F)C(F)(F)F)cc2C1=O,35.1,4.5
Cn1c(=O)c2[c-]c3c(=O)n(-c4[c:23]([CH3:29])[cH:22][c:11]5[c:10]([cH:25]4)[C@:9]4([c:4]6[cH:3][c:2]([CH3:27])[c:1]([CH3:26])[cH:6][c:5]6-[c:7]6[c:8]4[cH:14][c:15](C)[c:16](C)[cH:17]6)[c:13]4[c:12]-5[cH:21][c:20](C)[c:19](C)[cH:18]4)c(=O)c3[c-]c2c1=O,35.5,4.176470588235294
CN1C(=O)c2cc3c(cc2C1=O)[CH3]c1cc2c(cc1[CH3]3)C(C)(C)CC21CC(C)(C)c2cc3c(cc21)[CH3]c1cc2c(cc1[CH3]3)C(=O)N([cH3]1[c:23]([CH3:29])[cH:22][c:11]3[c:10]([cH:25]1)[C@:9]1([c:4]4[cH:3][c:2]([CH3:27])[c:1]([CH3:26])[cH:6][c:5]4-[c:7]4[c:8]1[cH:14][c:15](C)[c:16](C)[cH:17]4)[c:13]1[c:12]-3[cH:21][c:20](C)[c:19](C)[cH:18]1)C2=O,111.0,3.881118881118881
CN1C(=O)c2ccc([CH3](c3ccc4c(c3)C(=O)N([cH3]3c(Br)[cH:22][c:11]5[c:10]([cH:25]3)[C@:9]3([c:4]6[cH:3][c:2]([CH3:27])c(Br)[cH:6][c:5]6-[c:7]6[c:8]3[cH:14][c:15](C)[c:16](C)[cH:17]6)[c:13]3[c:12]-5[cH:21][c:20](C)[c:19](C)[cH:18]3)C4=O)(C(F)(F)F)C(F)(F)F)cc2C1=O,107.0,3.962962962962963
